Category,Contract,Group,Status,Time,Coverage
easy,integer_overflow_1.sol,A_PureFuzz,BugFound,.085677058,75
easy,integer_overflow_1.sol,B_PureFormal,BugFound,.082560236,87
easy,integer_overflow_1.sol,D_Hybrid,BugFound,.165532412,97
easy,king_of_the_ether_throne.sol,A_PureFuzz,BugFound,.081289081,62
easy,king_of_the_ether_throne.sol,B_PureFormal,BugFound,.077465580,87
easy,king_of_the_ether_throne.sol,D_Hybrid,BugFound,.166914925,98
easy,simple_dao.sol,A_PureFuzz,BugFound,.084562337,74
easy,simple_dao.sol,B_PureFormal,BugFound,.084212925,91
easy,simple_dao.sol,D_Hybrid,BugFound,.179460787,95
easy,simple_suicide.sol,A_PureFuzz,BugFound,.085949566,70
easy,simple_suicide.sol,B_PureFormal,BugFound,.081535299,86
easy,simple_suicide.sol,D_Hybrid,BugFound,.182260817,95
easy,unprotected0.sol,A_PureFuzz,BugFound,.078439347,71
easy,unprotected0.sol,B_PureFormal,BugFound,.081624491,88
easy,unprotected0.sol,D_Hybrid,BugFound,.165777058,96
medium,Elevator.sol,A_PureFuzz,BugFound,.080798397,71
medium,Elevator.sol,B_PureFormal,BugFound,.079272363,85
medium,Elevator.sol,D_Hybrid,BugFound,.165500619,95
medium,Force.sol,A_PureFuzz,BugFound,.080052888,78
medium,Force.sol,B_PureFormal,BugFound,.080274290,87
medium,Force.sol,D_Hybrid,BugFound,.167827722,96
medium,Telephone.sol,A_PureFuzz,BugFound,.081534411,71
medium,Telephone.sol,B_PureFormal,BugFound,.076282278,85
medium,Telephone.sol,D_Hybrid,BugFound,.169533612,97
medium,Token.sol,A_PureFuzz,BugFound,.086310872,77
medium,Token.sol,B_PureFormal,BugFound,.080902273,87
medium,Token.sol,D_Hybrid,BugFound,.172932553,97
hard,LogicGate.sol,A_PureFuzz,BugFound,.077912570,62
hard,LogicGate.sol,B_PureFormal,BugFound,.078744279,91
hard,LogicGate.sol,D_Hybrid,BugFound,.169481109,99
hard,Vault_CTF.sol,A_PureFuzz,BugFound,.082449852,73
hard,Vault_CTF.sol,B_PureFormal,BugFound,.081420158,94
hard,Vault_CTF.sol,D_Hybrid,BugFound,.170606481,96
